                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98531,                 1.5019,                 1.3083,                0.37637,                0.45725,                 0.4387,                0.34402,                0.74285,                 1.1284,                 1.0753,              0.0033188,              0.0033188,              0.0033188
                      2,                0.84785,                0.87368,                 1.1723,                0.53861,                0.46734,                0.46586,                0.34649,                0.90344,                 1.2697,                 1.1765,              0.0066302,              0.0066302,              0.0066302
                      3,                0.91935,                0.93206,                  1.209,                0.44253,                0.36209,                 0.3772,                0.25007,                 1.1903,                 1.6955,                   1.37,              0.0099195,              0.0099195,              0.0099195
                      4,                 1.0426,                 1.0561,                 1.2814,                0.32045,                0.41572,                0.33549,                0.22105,                 1.2078,                 1.6755,                 1.4014,               0.009901,               0.009901,               0.009901
                      5,                 1.0179,                0.98883,                 1.2677,                0.39816,                0.48358,                0.39215,                0.27554,                 1.0896,                 1.8048,                  1.309,               0.009868,               0.009868,               0.009868
                      6,                0.98894,                 0.9418,                 1.2682,                0.44738,                0.45303,                  0.445,                0.31914,                    1.1,                 1.3094,                 1.3253,               0.009835,               0.009835,               0.009835
                      7,                0.94369,                0.87928,                 1.2268,                0.51571,                0.49816,                0.47868,                0.34623,                 1.0264,                  1.225,                 1.2716,               0.009802,               0.009802,               0.009802
                      8,                  0.931,                0.84001,                 1.2207,                0.46466,                0.51296,                0.48049,                0.33927,                  1.069,                  1.215,                 1.3232,               0.009769,               0.009769,               0.009769
                      9,                0.90131,                0.79524,                 1.2031,                0.49012,                0.47103,                0.47668,                0.34709,                0.98687,                 1.3616,                 1.2444,               0.009736,               0.009736,               0.009736
                     10,                0.86964,                 0.7685,                  1.189,                0.60787,                0.50829,                0.54881,                0.40376,                0.93434,                 1.0247,                 1.1933,               0.009703,               0.009703,               0.009703
                     11,                0.85252,                0.74683,                 1.1815,                0.60033,                0.52562,                0.55164,                0.39298,                0.99033,                 1.1791,                  1.247,                0.00967,                0.00967,                0.00967
                     12,                0.82604,                0.72161,                 1.1648,                0.60707,                0.50009,                0.54018,                0.40255,                0.95509,                 1.2016,                 1.2199,               0.009637,               0.009637,               0.009637
                     13,                0.82119,                0.69687,                 1.1642,                0.76553,                0.52523,                0.62114,                0.45029,                0.92787,                 1.0998,                 1.2215,               0.009604,               0.009604,               0.009604
                     14,                 0.7713,                0.64226,                 1.1284,                0.64827,                0.60864,                 0.5724,                0.43032,                0.92518,                 1.1332,                 1.2018,               0.009571,               0.009571,               0.009571
                     15,                0.75624,                0.63261,                 1.1178,                0.66983,                0.52192,                0.57618,                0.42151,                 0.9606,                 1.1841,                 1.2329,               0.009538,               0.009538,               0.009538
                     16,                 0.7571,                 0.6214,                 1.1242,                0.74846,                0.54846,                0.61648,                0.46557,                0.94091,                 1.2637,                 1.2556,               0.009505,               0.009505,               0.009505
                     17,                0.73666,                0.61443,                 1.1096,                0.66974,                0.48465,                0.56247,                0.42316,                 0.9543,                 1.0951,                 1.2798,               0.009472,               0.009472,               0.009472
                     18,                0.72019,                0.58778,                 1.1069,                 0.7473,                 0.5551,                0.66954,                0.51753,                0.88946,                 1.0803,                 1.1964,               0.009439,               0.009439,               0.009439
                     19,                 0.7217,                0.58487,                 1.1078,                0.58727,                0.61904,                0.61735,                0.45011,                0.90181,                 1.0807,                 1.2214,               0.009406,               0.009406,               0.009406
                     20,                0.69357,                0.57466,                 1.0907,                0.75552,                0.47109,                0.60834,                0.47872,                0.87422,                 1.0768,                 1.1702,               0.009373,               0.009373,               0.009373
                     21,                0.69061,                 0.5613,                 1.0829,                0.72504,                0.59624,                0.63979,                0.49244,                0.90111,                 1.0987,                 1.1917,                0.00934,                0.00934,                0.00934
                     22,                0.67343,                0.54139,                 1.0729,                0.70091,                0.63733,                 0.6738,                0.51531,                0.84694,                 1.0451,                 1.1623,               0.009307,               0.009307,               0.009307
                     23,                0.65924,                0.52989,                 1.0724,                0.70101,                0.58473,                0.59754,                0.46197,                0.89603,                 1.0669,                 1.2202,               0.009274,               0.009274,               0.009274
